Gene_name	abundances_CH2879_noINF	abundances_JJ012_noINF
B2M	7740662065.46767	6483376845.16597
KRT10	2526029237.525	3410889048.76259
KRT2	1999108968.28248	1532924043.31598
KRT1	1666580309.47805	1581502266.70807
ACTB	30453797924.7666	10770079975.442
DYNC1H1	1781043534.16144	4291133293.6944
PLEC	1593995316.50002	3587749320.04642
KRT9	560159295.520973	1065912424.91209
VIM	19890095946.4273	14797072832.3303
FLNA	29168697569.4326	16536792973.207
DCD	859114283.428048	1358531995.16199
PRKDC	904703148.1953	1833828486.9014
EEF2	15315830902.4359	30305509725.5101
PRPF8	1423651488.99628	5947315478.02541
UBR4	663052818.026211	1666716692.23187
FASN	4629505129.65024	708468240.2943
POTEF	11309074.0480467	552146982.539054
CLTC	3538990325.76694	15918348006.2299
COL6A3	20134497511.7656	8104054388.22988
ACTC1	80074316.9801946	28829480587.8176
MYH9	14188696394.4381	1320827369.39407
SPTBN1	5263060018.75349	1889685972.08829
HUWE1	439023424.161517	240883261.720359
HLA-A	580415547.080018	1478626283.79611
DST	817610213.916011	1896663471.05802
RNF213	1128660154.94329	473112913.130612
TRRAP	434420194.227194	1319706521.49608
SPTAN1	52945999.2178063	8882949857.19219
SNRNP200	3886855493.38776	7152933531.04684
MACF1	1312874613.6632	1550089669.17761
HSP90AB1	667884194.459779	228082088995.348
HLA-B	13313539107.0708	329094890.245566
CAD	278305243.205479	7952708872.80417
KRT14	36061518.5045479	60692307.5053938
EIF3CL	4428617850.89656	43271806584.1546
HSP90AA1	56952420.9182649	4556597630.41441
NOMO3	993469848.054983	3177386557.10649
TENM2	1557905791.07441	1152807757.65497
IQGAP1	1273145444.62799	1657493022.22973
NOMO1	3381618.16934181	23874822.4800611
SYNE2	119983907.97081	1070991561.08648
HNRNPA2B1	324775572.083383	344017839.922201
FLNB	191210948.805851	283610298.774828
FAT1	196419783.071882	3783739410.80735
MDN1	790825914.560508	830722983.949327
KRT17	442870.212296995	1268269.2239476
AHNAK	702259723.932144	872518546.690175
DDB1	234119010.905234	2430561975.98616
CNOT1	2510159109.5545	447341200.389426
BIRC6	518039232.057088	413000672.028523
HNRNPA1	488641260.956533	161429723.053251
ATR	144895987.979089	1954948405.98509
SF3B3	1159503867.65086	2086939717.09479
PKM	1646072441.69359	1126982676.4551
CCNB1	675985049.336147	19172607967.7017
COPA	845133233.909943	4269428649.78955
TUBB	561476326.751818	181315471.430602
COPB2	191707482.800918	3922137285.22814
ACTBL2	0	0
FLNC	1166774512.1721	17961506.5210593
GAPDH	151881902.305216	555318852.206906
TRIO	155147117.971242	473607759.387623
ACTN4	102852147.549692	2560849295.54337
USP9X	434501080.754916	685009928.313857
HLA-C	87000424350.5948	1176629.65935364
TLN1	1556222336.59066	526858878.567837
EIF4G1	18399837964.1879	3571955060.83611
TOP2A	5949262896.24212	4037951087.24753
IGF2R	660724532.212682	638670396.562639
EPRS1	5611730105.39185	530488601.377665
IPO7	514214241.004647	367995299.848449
SPG11	620922791.815384	1035073296.78107
STAT1	69579770.3709976	942763825.813298
SYNE1	1067405771.73282	229526771.952259
RANBP2	745394586.828023	1642182912.85986
COPG1	1220659704.15423	1210411282.20178
KRT16	0	0
EEF1A1	15572834271.4647	763755819.11513
ALDOA	1185558610.4197	5864853300.60498
TUBB4B	10485885.6536245	5316292.19136033
KRT5	47298898.1463429	105408980.996778
XPO1	1097320052.80276	2851558616.77196
INTS1	4238061690.10391	635956283.369064
CTNNB1	1388453969.4448	1219998561.28761
NRDC	3828022060.83394	444775316.980234
POLE	186042529.785902	181595583.19902
UGGT2	219200364.917201	529357886.171978
NUP155	505900589.560096	1033887174.70709
TUBA1C	535631580.306278	737132017.270022
ASCC3	32153266.4727318	576351998.313854
POLR2A	4988391874.90284	325751762.656812
TUBB2A	0	0
ATAD2	65241842.8703948	450855720.89642
EIF3A	159965066.544924	365769941.462051
0	1162905153.74272	9298542719.74499
NUP188	187910504.609741	1478581048.62292
SF3B1	93757075.3714865	713267166.77274
HSP90B1	103909914.528107	838808233.834267
CLTCL1	3125941.48782173	145057796.832724
HIF1A	2692940927.18332	496062500.60923
PARP14	12717584.7801248	168245445.764798
KRT12	0	0
DOCK7	313214519.76304	113350216.059029
MCM5	273687671.165679	2623237125.20016
ASNS	864929851.965479	2163543138.16987
ECPAS	714519242.724707	802844994.915659
PRRC2C	2645418022.75257	691074745.823666
SON	8070630944.44613	74789331.0889721
PARP1	617836534.757516	11130524672.014
MOV10	596865167.477325	788513815.180345
MCM4	261165688.245564	380663259.999788
NUP205	396931317.592175	2654295868.28431
CENPF	372553598.478746	523787170.696658
EMC1	587615682.396264	1251483536.20609
ACLY	1039563508.10885	975379709.504605
MARS1	1404100305.65126	260445277.214872
